Date,BTC_hist_var,ETH_hist_var,SNT_hist_var,EUR_hist_var,BTC_model_var,ETH_model_var,SNT_model_var,EUR_model_var
2023-11-20,-0.05073184390182869,-0.06599215094090591,-0.07955351155137232,-0.007954101175944207,-0.03482859875830285,-0.04389143447891716,-0.0896862487752326,-0.007290189012810749
2023-11-21,-0.05068704355172656,-0.06599129113411176,-0.0795215141560296,-0.007951537180494501,-0.08352099989396647,-0.1043256769247567,-0.09014984502943152,-0.0068840977863857174
2023-11-22,-0.050642243201624436,-0.06599043132731759,-0.08009970431577011,-0.007948973185044795,-0.020179968063824577,-0.02678293980771809,-0.08165806138038788,-0.008063883613409865
2023-11-23,-0.05059744285152232,-0.0659895715205234,-0.08009746727219855,-0.007946409189595091,-0.03940584579276599,-0.04784647067409227,-0.0970525812399896,-0.007534317418251773
2023-11-24,-0.05056885524134669,-0.0659545834095973,-0.08006546987685582,-0.007945814737704327,-0.020570820354112566,-0.02874811923886383,-0.08939190943698826,-0.006929943767234603
2023-11-25,-0.05054026763117105,-0.0659195952986712,-0.08003347248151312,-0.007945220285813563,-0.04062111354169051,-0.04788468299018547,-0.09693927367461862,-0.0070798764996976215
2023-11-26,-0.05051168002099542,-0.06588460718774508,-0.08000147508617039,-0.0079446258339228,-0.0397241508551159,-0.049932167804917466,-0.09058711260131855,-0.007568312972838276
2023-11-27,-0.05048309241081979,-0.06584961907681898,-0.07996947769082767,-0.007944031382032035,-0.05840312716382878,-0.07200420522245694,-0.08985148961830144,-0.007398256051668363
2023-11-28,-0.050454504800644145,-0.06581463096589288,-0.07993748029548495,-0.007943436930141271,-0.027448258098954598,-0.034574843646320644,-0.08816010229711344,-0.007164897556350691
2023-11-29,-0.05042591719046852,-0.06577964285496678,-0.07990548290014222,-0.007942842478250509,-0.04696245509572351,-0.05989310792173538,-0.08965264353526141,-0.007042120765435606
2023-11-30,-0.05039732958029288,-0.06574465474404068,-0.07987348550479952,-0.007942248026359745,-0.02791251768044673,-0.03601032859837977,-0.08662260771106273,-0.008367663351694152
2023-12-01,-0.050368741970117245,-0.06570966663311456,-0.07984148810945679,-0.007941653574468981,-0.04376022939970934,-0.05224279137236141,-0.09902467617136787,-0.008115632210621119
2023-12-02,-0.050340154359941616,-0.06567467852218846,-0.07980949071411407,-0.007941059122578217,-0.031263210999836415,-0.03976759231108161,-0.09300002896411275,-0.007496959405789971
2023-12-03,-0.050311566749765974,-0.06563969041126236,-0.07977749331877135,-0.007940464670687453,-0.04795715036441083,-0.06057304902303866,-0.08820354025053721,-0.007217501940585303
2023-12-04,-0.050282979139590345,-0.06560470230033626,-0.07974549592342862,-0.007939870218796689,-0.03566880708811305,-0.0466781112393067,-0.08472039594080198,-0.007470010245642076
2023-12-05,-0.05025439152941471,-0.06556971418941016,-0.07971349852808592,-0.007939275766905927,-0.020881628706874614,-0.026587674292751166,-0.08592978657290092,-0.007775643995657643
2023-12-06,-0.05022580391923907,-0.06553472607848404,-0.0796815011327432,-0.007938681315015163,-0.056118285958035086,-0.07073283468877603,-0.09111734471184936,-0.00674026089745195
2023-12-07,-0.050197216309063444,-0.06549973796755794,-0.07964950373740047,-0.007938086863124399,-0.044606703871251104,-0.05743790199143431,-0.08701198368710829,-0.006698660897155241
2023-12-08,-0.0501686286988878,-0.06546474985663184,-0.07961750634205775,-0.007937492411233635,-0.04272692055199076,-0.05284905063391032,-0.0941006374876479,-0.007809850747372898
2023-12-09,-0.05014004108871217,-0.06542976174570574,-0.07958550894671503,-0.00793689795934287,-0.034740887940955804,-0.04470755974398249,-0.08816720192826426,-0.007206575287168578
2023-12-10,-0.05011145347853654,-0.06539477363477962,-0.0795535115513723,-0.007936303507452107,-0.038023237129110224,-0.046281960114415745,-0.09308089158524581,-0.007104022301860319
