Date,BTC,ETH,SNT,EUR
12/01/2024,46329.06,2616.958,0.0396622968,0.91221
11/01/2024,46599.08,2585.0706,0.04099631663,0.914015
10/01/2024,46063.42,2350.2635,0.0397140159,0.91263
09/01/2024,47036.79,2334.3953,0.03761887003,0.914955
08/01/2024,43945.06,2222.7218,0.03938033674,0.91136
07/01/2024,43971.9,2242.006,0.03801207462,0.91285
06/01/2024,44139.38,2271.0438,0.04053368434,0.91285
05/01/2024,44141.48,2268.7193,0.04062031244,0.912305
04/01/2024,42803.62,2209.7805,0.04263428941,0.9127
03/01/2024,44955.47,2362.7066,0.04086571554,0.91664
02/01/2024,44245.11,2364.3164,0.04523858755,0.9127
01/01/2024,42396.02,2297.0082,0.04652263755,0.90485
31/12/2023,42206.16,2304.0161,0.04511486706,0.9046
30/12/2023,42040.12,2302.3851,0.04577085605,0.9046
29/12/2023,42631.14,2355.2031,0.04380790852,0.9042
28/12/2023,43421.73,2389.6032,0.04474925866,0.903135
27/12/2023,42484.06,2234.9106,0.04475258897,0.89993
26/12/2023,43573.22,2277.8463,0.04363771562,0.906245
25/12/2023,43033.57,2281.6645,0.0442008339,0.9057
24/12/2023,43687.93,2318.2148,0.04312574454,0.90705
23/12/2023,43975.78,2336.5846,0.04492081108,0.90705
22/12/2023,43846.04,2243.2137,0.04433006305,0.908405
21/12/2023,43637.62,2203.1994,0.0427107063,0.909735
20/12/2023,42269.85,2182.992,0.04227910909,0.91253
19/12/2023,42619.05,2220.5282,0.04074399843,0.91081
18/12/2023,41430.58,2215.2821,0.04125491582,0.91565
17/12/2023,42282.96,2240.5967,0.04157123468,0.9168
16/12/2023,41981.1,2235.4109,0.04299430537,0.9168
15/12/2023,42961.53,2319.4836,0.04253993436,0.91713
14/12/2023,42832.03,2267.0949,0.0447073708,0.909205
13/12/2023,41427.04,2209.3063,0.04356722025,0.92649
12/12/2023,41233.99,2231.6641,0.04187954347,0.927085
11/12/2023,43795.02,2364.186,0.0420848849,0.930615
10/12/2023,43740.05,2353.9034,0.04622471456,0.9282
09/12/2023,44228.39,2369.8255,0.0462207834,0.9282
08/12/2023,43349.04,2360.6813,0.04620173204,0.93033
07/12/2023,43715.38,2234.77,0.04485121377,0.926485
06/12/2023,44093.22,2297.2672,0.0452367487,0.926935
05/12/2023,41829.46,2243.4636,0.04720865755,0.927465
04/12/2023,39996.28,2197.6314,0.04434895768,0.924465
03/12/2023,39434.47,2167.4955,0.04322327962,0.91855
02/12/2023,38701.97,2091.5092,0.04394164223,0.91855
